ID,artworkName,artistName,Time,Description,Size (in.),Size_cm,w (cm),h/cm,w/in,h/in,,,,,,,,,,,,,,,
211,Cliff Walk at Pourville,Claude Monet,1882,"In this work, Monet addressed the problem of inserting figures into a landscape without disrupting the unity of its painterly surface. He integrated these elements with one another through texture and color. The grass—composed of short, brisk, curved brushstrokes—appears to quiver in the breeze, and subtly modified versions of the same strokes and hues suggest the women’s wind-whipped dresses and shawls and the undulation of the sea. X-ray imaging of the work reveals that Monet reduced the rocky outcropping at the far right to balance the proportions of sea and sky.",26 1/8 × 32 7/16,66.5 × 82.3,66.5,82.3,26.18110236,32.4015748,,,,,,,,,,,,,,,
212,La Corniche near Monaco,Claude Monet,1884,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
213,"Rocks at Belle-Île, Port-Domois",Claude Monet,1886,"In ""Rocks at Belle-Île, Port-Domois,"" Monet depicted the grim sea beating away at the barren rocks, a theme he repeated and varied numerous times. He was sensitive to the topography of his surroundings and the need to alter his manner of looking accordingly. He wrote to his companion Alice Hoschedé, “I must make great efforts to make them [the rocks] somber, to render this sinister, tragic aspect.” He added that he felt “powerless to render the intensity” of the ocean crashing upon the rocky sentinels of the island. Yet he also recognized that he placed great demands on himself: “I’m chasing the merest sliver of color. It’s my own fault, I want to grasp the intangible.” The colors, forms, and atmosphere of this magnificent painting reveal that Monet was concerned as much with conveying turbulent emotion as with recording the appearance of a particular site.",32 x 25 1/2,81.3 x 64.8,81.3,64.8,32.00787402,25.51181102,,,,,,,,,,,,,,,
214,The Starry Night,Vincent van Gogh,1889,"The Starry Night is an oil on canvas by the Dutch post-impressionist painter Vincent van Gogh. Painted in June 1889, it depicts the view from the east-facing window of his asylum room at Saint-Rémy-de-Provence, just before sunrise, with the addition of an idealized village.It has been in the permanent collection of the Museum of Modern Art in New York City since 1941, acquired through the Lillie P. Bliss Bequest. It is regarded as among Van Gogh's finest works and is one of the most recognized paintings in the history of Western culture.",29 in × ​36 1⁄4 in,73.7 × 92.1,73.7,92.1,29.01574803,36.25984252,,,,,,,,,,,,,,,
215,"The Boulevard Montmartre, Afternoon",Camille Pissarro,1897,"After spending six years in rural Éragny, Pissarro returned to Paris, where he painted several series of the grands boulevards. Surveying the view from his lodgings at the Grand Hôtel de Russie in early 1897, Pissarro marveled that he could ""see down the whole length of the boulevards"" with ""almost a bird's-eye view of carriages, omnibuses, people, between big trees, big houses that have to be set straight."" From February through April, he recorded—in two scenes of the boulevard des Italiens to the right, and fourteen of the boulevard Montmartre to the left—the spectacle of urban life as it unfolded below his window.",25 1/2 x 32,64.8 x 81.3,64.8,81.3,25.51181102,32.00787402,,,,,,,,,,,,,,,
216,The Smoke Signal,Frederic Remington,1905,N/A,,122.6 x 77.1,122.6,77.1,48.26771654,30.35433071,,,,,,,,,,,,,,,
217,Ridden Down,Frederic Remington,1905-1906,N/A,,130.2 x 76.8 ,130.2,76.8,51.25984252,30.23622047,,,,,,,,,,Impressionism,2,,,,
218,Prisoners of War,Ladislav Mednyánszky,1914 - 1918,"Similarly as with some of the portraits, Mednyánszky also leaves a part of this canvas unfinished when he considered the subject finished. Also, what is typical for his drawings, we can see here several events depicted in the same oil study. The painter often got an idea for a new subject and painted it on the nearest surface to him, paper or canvas.",,63.5 x h43.5,63.5,43.5,25,17.12598425,,,,,,,,,,post-impressionism,3,,,,
219,Water Lilies,Claude Monet,1916,"Water Lilies (or Nymphéas) is a series of approximately 250 oil paintings by French Impressionist Claude Monet (1840–1926). The paintings depict his flower garden at his home in Giverny, and were the main focus of his artistic production during the last thirty years of his life. Many of the works were painted while Monet suffered from cataracts.",,201 x 200.5,201,200.5,79.13385827,78.93700787,,,,,,,,,,fauvism,4,,,,
220,View of İstanbul,Félix Ziem,Second half of the 19th Century,"Rather than presenting a realistic depiction of the city, this particular İstanbul painting of Ziem also reveals the picturesque aspect of life at sea against the backdrop of the city’s silhouette. The composition of the sailboats and marines in the foreground is balanced by the cityscape with a monumental mosque structure in the background. The artist’s use of vibrant colors and his efforts to capture the shimmering effects of the constant change of light with a fast, dynamic brushstroke technique dominate the painting. This style has led Ziem to be compared with Impressionist painters, even to be regarded as an artist who foreshadowed the emergence of Impressionism with his work.",,113 x 69,113,69,44.48818898,27.16535433,,,,,,,,,,cubism,5,,,,
301,Sunday Afternoon on the Island of La Grande Jatte,Georges Seurat,1884-86,"Seurat's Sunday Afternoon is perhaps the most famous example of the painting technique known as Pointillism. Seurat composed the entire scene from a series of small, precise dots of color. If viewed closely, the painting becomes nothing more than a quasi-abstract array of colors, similar to a needlepoint. When viewed at an appropriate distance, however, Sunday Afternoon comes into focus. Seurat carefully placed each dot in relation to the ones around it in order to create the desired optical effect. He did so in order to bring structure and rationality to what he perceived were the triviality and disorganization rampant in Impressionism.",81.7 in × 121.25 in,207.6 × 308,207.6,308,81.73228346,121.2598425,,,,,,,,,,expressionism,6,,,,
302,Self-portrait,Vincent van Gogh,1887,"Vincent van Gogh painted his first known self-portrait in 1886, following the model of the 17th-century Dutch artist Rembrandt. But by the time he made this work, a year later, he had clearly shifted his allegiance from the Old Masters to the Parisian avant-garde. Under the influence of Neo-Impressionist color theory, he based this painting on the contrast of complementary colors. The overall blue-green tone of the background serves as a foil to the orange-red of the artist’s hair and beard. While the intensity of the colors is enhanced by the brushwork, the painting’s energy and turbulence hint at the inner life of the artist.",16 1/8 in × 13 1/4 in.,41 × 32.5 ,41,32.5,16.14173228,12.79527559,,,,,,,,,,dadaism,7,,,,
303,Vision After the Sermon,Paul Gauguin,1888,"Vision after the Sermon (Jacob Wrestling with the Angel) is an oil painting by French artist Paul Gauguin, completed in 1888. It is now in the National Gallery of Scotland, Edinburgh. It depicts a scene from the Bible in which Jacob wrestles an angel. It depicts this indirectly, through a vision that the women depicted see after a sermon in church. It was painted in Pont-Aven, Brittany, France.",28.4 in × 35.8 in,72.2 × 91  ,72.2,91,28.42519685,35.82677165,,,,,,,,,,,,,,,
304,Bedroom in Arles,Vincent van Gogh,1888,"The painting depicts van Gogh's bedroom at 2, Place Lamartine in Arles, Bouches-du-Rhône, France, known as the Yellow House. The door to the right opened on to the upper floor and the staircase; the door to the left was that of the guest room he held prepared for Gauguin; the window in the front wall looked on to Place Lamartine and its public gardens. This room was not rectangular but trapezoid with an obtuse angle in the left hand corner of the front wall and an acute angle at the right. ",28.3 in × 35.4 in,72 × 90  ,72,90,28.34645669,35.43307087,,,,,,,,,,constructivism,8,,,,
305,Landscape of Brittany,Paul Gauguin,1888,"Gauguin visited Pont-Aven in Brittany in 1886, and lived in that area off and on until 1890. He used the undulating landscapes and artless genre scenes of the region in his pursuit of distinctive individualistic compositions. This work from the first half of his stay in Brittany represents a transitional stage from the Impressionist style to his own more planar forms. While the palette is subdued and the touch resembles that of the Impressionists, each form of the separate objects is expressed in large color blocks edged by outlines, clearly foreshadowing the style that would emerge in the latter half of Gauguin's stay in Brittany. ",,116.6 x 89.3  ,116.6,89.3,45.90551181,35.15748031,,,,,,,,,,surrealism,9,,,,
306,Sunflowers,Vincent van Gogh,1888,N/A,28 in x 36.38 in,,71.1,92.4,27.99212598,36.37795276,,,,,,,,,,pop art ,10,1956-1967,,,
307,Portrait of Doctor Gachet,Vincent van Gogh,1890,"Portrait of Dr. Gachet is one of the most revered paintings by the Dutch artist Vincent van Gogh. It depicts Dr. Paul Gachet who took care of Van Gogh during the final months of his life. There are two authenticated versions of the portrait, both painted in June 1890 at Auvers-sur-Oise. Both show Gachet sitting at a table and leaning his head on his right arm, but they are easily differentiated in color and style. In May 1990, the first version was sold at auction for $82.5 million ($154.5 million today), a new mark for the highest ever price for a painting, not surpassed for the first time until June 2006.",23.4 in × 22.0 in,67 × 56  ,67,56,26.37795276,22.04724409,,,,,,,,,,,,,,,
308,"The Channel of Gravelines, Petit Fort Philippe",Georges Seurat,1890,N/A,28 7/8 in x 36 1/2 in,,,,,,,,,,,,,,,,,,,,
309,The Card Players,Paul Cézanne,1890-1892,N/A,25.5 × 31.8 in,65 × 81  ,65,81,25.59055118,31.88976378,,,,,,,,,,,,,,,
310,Moulin Rouge: La Goulue,Henri de Toulouse-Lautrec,1891,"Moulin Rouge: La Goulue is a poster by French artist Henri de Toulouse-Lautrec. It is a colour lithograph from 1891, probably printed in about 3,000 copies, advertising the famous dancers La Goulue and ""No-Bones"" Valentin, and the new Paris dance hall Moulin Rouge.[1] Although most examples were pasted as advertising posters and lost, surviving examples are in the collection of the Indianapolis Museum of Art and many other institutions.",67 in × 46.75 in,170 × 118.7  ,170,118.7,66.92913386,46.73228346,,,,,,,,,,,,,,,
311,Tahitian Woman with a Flower,Paul Gauguin,1891,"In his book Noa Noa Gauguin describes his experience of Tahiti and its inhabitants on his arrival in 1891. He describes the woman in the portrait thus: “She was not pretty – at least not by European standards – but beautiful.” Disillusioned with Europe and the Western art scene Gauguin took his leave and went in search of a new beginning in the Pacific Islands. The era’s passion for “the primitive” took hold of him, possibly deeper than with any other artist. The girl’s choice of clothing and the painter’s choice of composition connect her to the European portrait tradition from the Renaissance – but her native features resist any kind of Europeanising.",,46.5 x 70.5  ,46.5,70.5,18.30708661,27.75590551,,,,,,,,,,,,,,,
312,A Centennial of Independence,Henri Rousseau,1892,N/A,441 in × 62.24 in,111.8 × 158.1  ,111.8,158.1,44.01574803,62.24409449,,,,,,,,,,,,,,,
313,The Scream,Edvard Munch,1893,"Through its saturated hues and expressive content, Munch's most famous painting, The Scream, articulates the central tenets of his aesthetic mode.  Through the nightmarish image of the anguished individual and the abstract rendering of form, the artist created this highly provocative and personal painting. Unlike the Impressionists' idyllic images of rural scenes, Munch poses an alternate view of man's relationship with nature. Here, the protagonist's emotions are reflected throughout the surrounding scenery, which create a symbolic plane for the expression of internal being.",36 in × 28.9 in,91 × 73.5  ,91,73.5,35.82677165,28.93700787,,,,,,,,,,,,,,,
314,Aristide Bruant in his Cabaret,Henri de Toulouse-Lautrec,1893,"In the 1890s Henri Marie Raymond de Toulouse-Lautrec Monfa was one of a group of young avant-garde artists whose color lithography was a vehicle for innovative printmaking. Even in this company, Toulouse-Lautrec's use of color lithography was revolutionary, revitalizing graphic design. Equally radical was his appeal to mass culture through his art. To reach the public, he did not seek traditional venues or alternative salons: the intellectual and popular media and the walls of Parisian streets constituted Lautrec’s salon.",N/A,N/A,,,,,,,,,,,,,,,,,,,
315,The Bathers,Paul Cézanne,1898-1905,"Cezanne employed the technique of constructing visually complex images composed of simple shapes, lines, and geometric forms built up from the canvas with thick impasto. He composed the bathers, trees, and landscape from planes of color and applied the paint with a palette knife, not a brush. These color planes highlighted the fact that the viewer's eye observed a scene both simultaneously and consecutively. This visual effect caused the forms of the bathers' bodies in the foreground to merge into the branches of the trees in the landscape behind them. This visual slippage heralded the future of modernist painting. ",82 7/8 in × ​98 3/4 in,210.5 × 250.8 ,210.5,250.8,82.87401575,98.74015748,,,,,,,,,,,,,,,
316,The Quai Saint-Michel and Notre-Dame,Maximilien Luce,1901,"Luce was part of the Neo-Impressionist movement between 1887 and 1897 and used the technique of employing separate dabs of color (divisionism), for the painting, which was one of ten he undertook of Notre Dame de Paris. The Musée d'Orsay in Paris, which holds the image as of 2015, notes that this was painted by Luce when he was moving from his Neo-Impressionist period to his later Populist period. The Musée d'Orsay obtained the picture in 1981.",29 in × 24 in,73 × 60 ,73,60,28.74015748,23.62204724,,,,,,,,,,,,,,,
317,The Port of Rotterdam,Paul Signac,1907,"In 1906 Signac visited the port of Rotterdam and was greatly impressed. On a postcard with a harbour scene he wrote: 'From my window! What industriousness! I am enthusiastic, but amazed.' He made this painting the following year based on a drawing, which is also in the collection of Museum Boijmans Van Beuningen. The combination of the individual dabs of paint creates shimmering light effects.",,114 x 87 ,114,87,44.88188976,34.2519685,,,,,,,,,,,,,,,
318,The Dream,Henri Rousseau,1910,"In The Dream, his last and largest painting, Rousseau presented a unique interpretation of the traditional theme of the reclining nude. She is resting on her side, surrounded by the tropical flora and fauna of the mysterious depths of a jungle. The lack of perspectival depth, use of bright color, and distorted representations accentuate the dream-like quality of the painting. Rousseau's The Dream displays the artist's disregard for naturalistic depiction and realistic content in favor of surreal renderings.",80.5 in × 117.5 in,204.5 × 298.5 ,204.5,298.5,80.51181102,117.519685,,,,,,,,,,,,,,,
319,Intérieur aux deux verres,Marius Borgeaud,1923,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
320,Blue Boat at Porquerolles,Albert Marquet,1938,"Pierre-Albert Marquet made a name for himself in the Parisian art world by painting complacent seaside images in southern France and Northern Africa. Unlike his contemporary and friend Henri Matisse, Marquet interpreted his views with cooler, more muted tones as opposed to Matisse’s rich, bold colors. The setting for Blue Boat at Porquerolles is the small island of Porquerolles off the southern coast of France. With quick, slithering lines, Marquet’s harbor scene is calmly fluid, as boats lazily float out of the harbor in the cool shadows of early morning.",17 1/2 in x 23 1/4 in,44.5 x 59.1,44.5,59.1,17.51968504,23.26771654,,,,,,,,,,,,,,,
401,"Notre-Dame, une fin d'après-midi",Henri Matisse,1902,"Notre-Dame, une fin d'après-midi (""A Glimpse of Notre-Dame in the Late Afternoon"") is a painting by Henri Matisse from 1902. Its somber coloration is typical of Matisse's works executed between the end of 1901 and the end of 1903, a period of personal difficulties for the artist. This episode has been called Matisse's Dark Period.",28 1/2 × ​21 1/2 in.,72.5  × 54.5 ,72.5,54.5,28.54330709,21.45669291,,,,,,,,,,,,,,,
402,"Luxe, Calme et Volupte",Henri Matisse,1904,"This early work by Matisse clearly indicates the artist's stylistic influences in the use of tiny dabs of color to create a visual frisson. What sets this work apart from these more rigid methods, however, is Matisse's intense concentrations of pure color. The oranges, yellows, greens, and other colors all maintain their own discrete places on the picture plane, never quite merging to form the harmonious tonality that both Seurat and Signac were known for, and instead heighten the almost vertiginous effect created by the striking dots of paint. Matisse took this work's title, which translates as ""luxury, peace, and pleasure,"" from Charles Baudelaire's poem L'Invitation au Voyage (Invitation to a Voyage).",37 in × 46 in,98.5  × 118.5 ,98.5,118.5,38.77952756,46.65354331,,,,,,,,,,,,,,,
403,Self-portrait in studio,André Derain,1903,N/A,16 5/8 x 13 5/8 in.,42.2  x 34.6 ,42.2,34.6,16.61417323,13.62204724,,,,,,,,,,,,,,,
404,Les toits de Collioure,Henri Matisse,1905,"It is an example of the style that Matisse employed during his early period of Fauvism. The painting is in the collection of The Hermitage, St. Petersburg, Russia.",23.4 in × 29 in,59.5  × 73 ,59.5,73,23.42519685,28.74015748,,,,,,,,,,,,,,,
405,The Open Window ,Henri Matisse,1905,"It is an example of the Fauvist style of painting that Matisse became famous for, and for which he was a leader, roughly between the years 1900–1909. The Open Window depicts the view out the window of his apartment in Collioure, on the Southern coast of France. We see sailboats on the water, as viewed from Matisse's hotel window overlooking the harbor. He returned frequently to the theme of the open window in Paris and especially during the years in Nice and Etretat, and in his final years, particularly during the late 1940s.",21 3/4 in × ​18 1/8 in,55.3  × 46 ,55.3,46,21.77165354,18.11023622,,,,,,,,,,,,,,,
406,Mountains at Collioure,André Derain,1905,"Derain famously claimed to use ""color as a means of expressing my emotion and not as a transcription of nature."" In this painting Derain used long, isolated brushstrokes, influenced by Divisionist painting, to structure the trees and ground of his landscape. The colors are indeed non-representational, even unnatural: the trees' trunks are bright red, and the hills in the background are painted in abstracted patches of bright purple and orange. The pulsing brushwork and jarring contrasts of these colors suggest the shimmering heat of a Mediterranean summer. By rejecting chiaroscuro and spatial depth, Derain keeps the viewer's attention fixed on this effect of light and motion and on the life force that seems to ripple through every element of this landscape.",32.0 in × 39.5 in,81.3  × 100.3 ,81.3,100.3,32.00787402,39.48818898,,,,,,,,,,,,,,,
407,Le séchage des voiles (The Drying Sails),André Derain,1905,"The picture was painted at Collioure, a small sea town in the south of France, and is also known under the name Fishing Boats. The artist's liberated manner is seen in the bright colours and freely applied brushstrokes that leave patches of priming and canvas uncovered. The painting was shown at the famous Fauvist exhibition in the 1905 Salon d'Automne and acquired by Ivan Morozov shortly afterwards.",,82 x 101 ,82,101,32.28346457,39.76377953,,,,,,,,,,,,,,,
408,Barges on the Seine,Maurice de Vlaminck,1905,N/A,,81 x 100 ,81,100,31.88976378,39.37007874,,,,,,,,,,,,,,,
409,Portrait of Madame Matisse,Henri Matisse,1905,"This depiction of the artist’s wife, Amélie, is one of Matisse’s most famous paintings and a masterpiece within 20th century portraiture. 
Much of its strength resides in its simple geometric structure and in the way in which the colours are combined. Spatial modulation is pared back to a minimum. Effects of light and shadow, which would have added depth to the image, have been translated into planes of colour instead.",,40.5 x 32.5 ,40.5,32.5,15.94488189,12.79527559,,,,,,,,,,,,,,,
410,L'Olivier près de l'Estaque (The Olive tree near l'Estaque),Georges Braque,1906,"Georges Braque was a major 20th-century French painter, collagist, draughtsman, printmaker and sculptor. His most important contributions to the history of art were in his alliance with Fauvism from 1906, and the role he played in the development of Cubism. Braque’s work between 1908 and 1912 is closely associated with that of his colleague Pablo Picasso. Their respective Cubist works were indistinguishable for many years, yet the quiet nature of Braque was partially eclipsed by the fame and notoriety of Picasso.",N/A,N/A,,,,,,,,,,,,,,,,,,,
411,La jetée à L'Estaque,André Derain,1906,N/A,,38 x 46 ,38,46,14.96062992,18.11023622,,,,,,,,,,,,,,,
412,The River Seine at Chatou,Maurice de Vlaminck,1906,"This scene depicts the portion of the Seine that runs through Chatou, the Paris suburb where de Vlaminck and Derain shared a studio beginning in 1901. For The River Seine, de Vlaminck used impasto (a technique practiced by many Fauves): thick daubs of paint applied directly from the tube, then brushed together in short strokes to create the effect of movement. For the water and sky, de Vlaminck used a range of blues and greens, as well as dazzling white highlights applied in choppy dabs; the two red-and-orange trees at the left provide a lively contrast. The finished effect is one of brightness and vibrating motion; detail and traditional perspective matter far less than a sense of buoyant pleasure. As de Vlaminck said, ""I try to paint with my heart and my guts without worrying about style.""",32 1/2 x 40 1/8 in.,82.5 x 102 ,82.5,102,32.48031496,40.15748031,,,,,,,,,,,,,,,
413,Paysage coloré aux oiseaux aquatiques,Jean Metzinger,1907,"Paysage coloré aux oiseaux aquatiques (Colored Landscape with Aquatic Birds). The work represents three aquatic birds in an ambrosial Mediterranean landscape with semi-tropical vegetation, trees, a body of water, mountains and a sailboat in the background. The free and expressive brushstrokes of Paysage coloré aux oiseaux aquatiques—as in Les Ibis and Le Flamant rose et le voilier of the same period—represent a loosening of the mosaic-like Divisionist technique that characterized Metzinger's work from 1905 to early 1907.",29.7 in × 39.8 in,75.5  × 101 ,75.5,101,29.72440945,39.76377953,,,,,,,,,,,,,,,
414,"Paysage (Le Bec de l'Aigle, La Ciotat)",Othon Friesz,1907,"Achille Émile Othon Friesz, a native of Le Havre in France, moved to Paris to study art in 1898 and became part of the circle that included Matisse, Rouault, Marquet, and Dufy. For this work, Friesz used warm tones of yellow and red accentuated by touches of green. Although he was a devoted Fauvist for as long as any of his contemporaries, Friesz's approach to the canvas was far more traditional, his color choices were more deliberate, and his application of paint was more methodical. In this sense, Friesz painted an Impressionist-style landscape using Fauvist color.",25 3/8 in. x 32 in. ,64.45  x 81.28 ,64.45,81.28,25.37401575,32,,,,,,,,,,,,,,,
415,Jeanne dans les fleurs,Raoul Dufy,1907,"Like the Impressionists, Dufy was fond of painting gardens and flowers, but this scene of his family's garden, composed in a shallow, tightly cropped space, was a more expressive work of art. His ambiguous mingling of foreground and background through the curves of the foliage, his raw brushwork, and his non-naturalistic use of color (even in the skin of his model, his sister Jeanne) exemplify Fauvism's freedom from literal physical appearances and its new stress on color's intrinsic emotional power.",,90.5 x 77.5 ,90.5,77.5,35.62992126,30.51181102,,,,,,,,,,,,,,,
416,Blue Nude,Henri Matisse,1907,"Matisse shocked the French public at the 1907 Société des Artistes Indépendants when he exhibited Blue Nude (Souvenir de Biskra). The Blue Nude was one of the paintings that would later create an international sensation at the Armory Show of 1913 in New York City.

The painting, which may be classified as Fauvist, was controversial; it was burned in effigy in 1913 at the Armory Show in Chicago, to where it had toured from New York. In 1907 the painting had a strong effect on Georges Braque and Pablo Picasso, partially motivating Picasso to create Les Demoiselles D'Avignon.",36.3 in × 55.2 in,92.2 x 132.6,92.2,132.6,36.3,55.2,,,,,,,,,,,,,,,
417,Paysage à La Ciotat,Othon Friesz,1907,N/A,,59.9 x 72.9 ,59.9,72.9,23.58267717,28.7007874,,,,,,,,,,,,,,,
418,Le Viaduc a l'Estaque,Georges Braque,1908,"Between 1905 and 1908, Braque painted the landscapes of L'Estaque (a setting also favored by Cezanne) in different color palettes. This 1908 composition reveals Braque's combination of Fauvist color and simplification of form with a nascent interest in volume and multiple perspective: the rounded arches of the ancient viaduct connect both sides of the landscape in the distance, but the foreground is a carefully arranged stack of boxy houses and vigorously brushed greenery. Le Viaduc a l'Estaque foreshadows Braque's future role in the development of Cubism, the next major modern movement of the 20th century.",,"72, 5 x 59 ",72.5,59,28.54330709,23.22834646,,,,,,,,,,,,,,,
419,La Dance,Henri Matisse,1910,"Dance and its pendant Music were two of Matisse's late Fauvist works, the culmination of his work in this style. These large-scale canvases were commissioned by the Russian merchant Sergei Shchukin, a major patron of avant-garde art in that period. The arrangement of figures in a circular dance is a centuries-old motif, often used to suggest a golden age of harmony and leisure. However, by simplifying and distorting his dancers' anatomy for expressive purposes, and painting them in a vibrant, non-naturalistic red against a flat ground of blue sky and green earth, Matisse emphasized the primordial aspect of dance. The figures' extremities brush the edges of the composition, as if their dynamism were barely contained by the canvas.",,260 x 391 ,260,391,102.3622047,153.9370079,,,,,,,,,,,,,,,
420,L'Atelier Rouge (The Red Studio),Henri Matisse,1911,"Matisse dismantled the conventional distinctions between foreground and background, figure and space. Color and perspective are both non-naturalistic in this work: the canvas is one broad field of saturated crimson. When asked about this choice of color, Matisse commented, ""Where I got the color red - to be sure, I just don't know. I find that all these things...only become what they are to me when I see them together with the color red."" The delicate, pale outlines of furniture and walls are actually underpainting revealed from behind the red, and they are not consistent with any traditional perspectival system.",,162 x 130 ,162,130,63.77952756,51.18110236,,,,,,,,,,,,,,,
